,date,ZAFIT JUNCTION,"YEROHAM,DAM",YEROHAM S BOQER ROAD KM 42,UPPER MA'ALE AQRABIM,SEDOM ASCENT,SAYYARIM JUNCTION,ROAD 40 - NAHAL ZIN  CROSSING,ORON JUNCTION,NIZZANA,NAHAL ZIN MOUTH,NAHAL ZAVOA CROSS,NAHAL OMER KM 129,NAHAL HIYYON,MIZPE ELAT,MAKHTESH RAMON,KOKHAV,KM 71 ARAVA RD,HAR HORESHA,HAR HATIRA ASCENT,HAMESHAR,HAMAKHTESH HAGADOL,HAMAKHTESH HAGADOL WEST RIM,EN GEDI RD OPP MEZADA,BEER MENUHA KM 101,ASHALIM NIZZANA ROAD KM 53,ARVAT YAFRUQ KM 825
0,1949-01-01,68.00816326530612,96.27936507936508,105.83088235294117,131.0,50.60597014925373,22.942857142857143,85.84313725490196,72.13636363636364,68.65555555555555,46.40172413793104,120.00869565217391,37.224489795918366,27.375,21.32857142857143,64.84426229508196,95.37121212121212,27.016666666666666,88.07692307692308,89.3,35.83064516129032,79.02456140350877,103.17636363636363,45.237096774193546,32.5,86.0703125,72.0
1,1950-01-01,68.00816326530612,96.27936507936508,105.83088235294117,46.3,50.60597014925373,22.942857142857143,85.84313725490196,72.13636363636364,68.65555555555555,46.40172413793104,120.00869565217391,37.224489795918366,27.375,21.32857142857143,64.84426229508196,95.37121212121212,27.016666666666666,88.07692307692308,89.3,35.83064516129032,79.02456140350877,103.17636363636363,45.237096774193546,32.5,86.0703125,30.5
2,1951-01-01,68.00816326530612,96.27936507936508,105.83088235294117,73.0,50.60597014925373,22.942857142857143,85.84313725490196,72.13636363636364,68.65555555555555,46.40172413793104,120.00869565217391,37.224489795918366,27.375,21.32857142857143,64.84426229508196,95.37121212121212,27.016666666666666,88.07692307692308,89.3,35.83064516129032,79.02456140350877,103.17636363636363,45.237096774193546,32.5,86.0703125,38.5
3,1952-01-01,68.00816326530612,90.0,85.0,59.0,50.60597014925373,22.942857142857143,85.84313725490196,75.0,68.65555555555555,46.40172413793104,110.0,37.224489795918366,27.375,21.32857142857143,64.84426229508196,92.0,27.016666666666666,88.07692307692308,80.0,35.83064516129032,79.02456140350877,103.17636363636363,45.237096774193546,32.5,86.0703125,44.5
4,1953-01-01,68.00816326530612,112.9,157.0,58.81969696969697,50.60597014925373,22.942857142857143,85.84313725490196,89.4,68.65555555555555,46.40172413793104,144.1,37.224489795918366,27.375,21.32857142857143,64.84426229508196,94.0,27.016666666666666,88.07692307692308,96.2,35.83064516129032,79.02456140350877,103.17636363636363,45.237096774193546,32.5,86.0703125,48.0
5,1954-01-01,96.0,100.0,92.0,58.81969696969697,50.60597014925373,22.942857142857143,85.84313725490196,72.13636363636364,68.65555555555555,46.40172413793104,116.0,37.224489795918366,27.375,21.32857142857143,64.84426229508196,66.0,27.016666666666666,88.07692307692308,83.0,35.83064516129032,79.02456140350877,103.17636363636363,45.237096774193546,32.5,86.0703125,23.0
6,1955-01-01,82.0,114.0,156.0,58.0,73.0,22.942857142857143,85.84313725490196,88.0,68.65555555555555,46.40172413793104,144.0,37.224489795918366,27.375,21.32857142857143,64.84426229508196,160.0,27.016666666666666,88.07692307692308,125.0,35.83064516129032,79.02456140350877,103.17636363636363,84.0,32.5,86.0703125,40.0
7,1956-01-01,68.00816326530612,180.0,146.5,119.0,88.0,22.942857142857143,85.84313725490196,162.0,68.65555555555555,46.40172413793104,228.0,37.224489795918366,27.375,21.32857142857143,77.0,139.0,27.016666666666666,88.07692307692308,138.0,74.0,79.02456140350877,103.17636363636363,156.0,32.5,86.0703125,68.0
8,1957-01-01,68.00816326530612,53.0,48.0,36.0,17.0,22.942857142857143,85.84313725490196,72.13636363636364,68.65555555555555,46.40172413793104,73.0,37.224489795918366,27.375,21.32857142857143,64.84426229508196,77.0,27.016666666666666,88.07692307692308,52.0,35.83064516129032,79.02456140350877,103.17636363636363,45.237096774193546,32.5,86.0703125,25.0
9,1958-01-01,63.0,97.0,115.0,58.0,46.0,22.942857142857143,85.84313725490196,69.0,68.65555555555555,46.40172413793104,141.0,37.224489795918366,16.0,21.32857142857143,82.0,119.0,27.016666666666666,88.07692307692308,102.0,20.0,79.02456140350877,103.17636363636363,18.0,17.0,91.0,15.0
